label,sentence
1, i 'm not gonna go into the features cause if you 're reading this review  you 've probably already looked at them  but i must say the dj feature if very cool and the removable battery is also a bonus !
1, like it 's predecessor  the quickly revised nx  this player boasts a decent size and weight  a relatively-intuitive navigational system that categorizes based on id3 tags  and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) . 
1, canon have packed a lot in here and the options and controls are easy to use and logically laid out . 
1, seems to work great .
1, very simple and painless .
0, 2 ) scroll button / switch 
0, the collet for the 1 / 4 inch bits is a pain to get in and even harder to get out .
1, ( batteries last longer too ! ) 
1, you do not have to waste money or time trying to purchase special bags for the champ .
1, another reason i got it is because you can put wma files on it . 
0, the photos in the address book are terribly scaled too ; they look as though they were built out of legos .
1, i am just in love with this phone  especially after using a more primitve phone about 3 years .
1, the instruction manuals and documentation are excellent so that the learning curve will be much less steep .
1, i also like the lock feature  so it makes the touch pad inactive .
1, no smell  easy to use with one hand free  and best of all it uses regular tall kitchen garbage bags so you don 't get suckered in to using only the bags made for the pail that are imposible to find !
1, get it  it 's woth every penny ! ! 
0, e ) the case is too small -- it took me like a half hour just to get this monstrosity to fit in its cage 
0, essentially  the cd included with the package is  for the most part  worthless .
1, recent price drops have made the g3 the best bargain in digital cameras currently available . 
0, from day one  we 've had hangups  crashes  glitches  continual reboots  long shutdowns due to " ccapp.exe " program running which is a norton program .
0, the strap is horrible and gets in the way of parts of the camera you need access to . 
1, you can use the player to store your computer data files ( good feature to have ) .
0, in noisy environment  it 's hard to hear from the earpiece .
0, the player hangs up on file transfer every once-in-a-while  prompting a reset . 
0, nice machines  but i consider their quality pretty low now . 
1, you of course have some good customization options with the unit as well ( sound presets  navigating options  playlists  etc ) . 
0, the only complaint i have is that the 1 / 4 " collet will not sufficiently hold any of my 1 / 4 " bits .
0, rather than creating a directory for bookmarks to be found in one area  the user must actually find the track where the bookmark was made . . 
1, the canon g3 is perhaps the best 4mp camera out there . 
1, the interface is simple to use .
1, interface - practically seamless . 
1, most of them are already switched to apex and they are happy . 
0, this phone doesn 't include phone card calling .
1, friends told me that the diaper genie did not work very well  so bought the diaper champ based on on-line reviews and i have been happy with it .
0, this is ridiculous . 
1, have had the player since xmass and love it ! 
0, this product has virtually all the same installation problems .
1, playlists can be generated on the fly ( which is a bit clunky but still a really nice bonus ) or by using the software  and there are a bevy of eq options . 
1, 4 mp gives you room for the future gaining experience ; cost offsets over time from wanting more in a camera  3x optical and the fact that it carries nikon 's quality reputation behind it make the whole package prove itself worthwile at the price . 
0, after multilple tries  one of the disks was finally recognized but video was poor and features not available . 
0, my friend has an ipod  and although the sound quality probably won 't meet most audiophile standards  the product itself is better than anything creative has made .
0, many of our disney movies do n't play on this dvd player . 
0, typically  the problem is the headphone jack -- it was for me and many others . 
0, also  i can 't understand why the software does not ignore " the " when it lists the cds in alphabetical order . 
1, transfers are surprisingly quick through usb 2.0 . 
1, easy to use : a lot of reviews has mentioned about this 
0, they claim to respond in a 24 hour period yet it 's been 2 weeks without a reply . 
1, at first i had a problem with some smell  then i realized if you flip the lid back and always keep the same side facing in - then there is no smell at all !
1, if you don 't mind all the buttons being touch sensitive  i 'd recomment buying it to try out  and also buy an extra 2 year warrenty for it ( there are some offered here  for about $ 15 dollors i think ) .
1, it can not be the computer or the owner  since i purchased mcafee anti-virus 8 and it installs and works fine with no problems .
1, it 's faster than wmp .
1, however since this router is backward compatible  that doesn 't pose a problem at all .
0, for my first i had a diaper genie which was not only costly with the refills but it was also very stinky .
0, after a recent update  i can no longer open more then 1 browser window .
1, the great and versatile ipod i love my ipod !
1, the scroll wheel is better than the ipod 's as well  in that you do n't risk giving yourself a cramp running your thumb around in circles endlessly - just a small nudge of the finger and you 're there . 
1, among my requirments for a phone were : good screen  decent camera  bluetooth  and gprs support .
1, diaper champ is by far the best diaper pail !
1, it 's far better than all others on the market .
0, because of this  i am disappointed and would not recommend this product . 
1, i never had a single problem .
1, its really cool . 
1, even with these shortcomings  i still think it is the best digital camera available under $ 1200 . 
1, i am very pleased with its quality and durability . 
1, i can go pretty far away from my router and still connect wirelessly .
1, it does well in all aspects of internet browsing . 
1, the two-times optical zoom operates smoothly and quietly  and lo and behold  a two-piece shutter-like cap automatically slides closed over the lens when you turn the camera off .
1, this is my second digital camera  but i 'm much more impressed with the canon s100 digital elph than i ever was with my kodak dc240 .
1, this phone is one of the best i 've ever used .
1, eball metaphor : i was hoping creative hit a home run here  and i think the zen micro is more like a stand-up double .
1, hitachi 's m12v is a big beast of a router .
1, it plays original dvds and cds and plays mp3s and jpegs . 
0, it was n't as easy to fast forward or pause a song than it was with a regular walkman . 
0, i loved it until it broke  but less than a month is not an acceptible period of time for something to work . 
1, reviews for sound quality are generally ( but not universally ) positive . 
0, the os is abit confusing at 1st  but within a few days you will pass this learning curve !
1, the speakerphone  the radio  all features work perfectly . 
0, second might be a problem i might have with my pc but not too sure  when the player is connected on the usb and i start playing on it and also using the windows explorer  it sometimes pauses by itself and tries to synchronise with the pc during play  which is a bit irritating .
1, few month ago  it 's very popular among my community .
1, there are no specail bags to deal with or buy !
1, it 's oval and ... nice .
1, the bags attach inside the champ easily and all one has to do is cram the diaper down and flip the handle .
1, finally  compare the ipod to other players on a cost / gb  and also consider ease of use .
0, the only thing i 'm concerned about is the quality / longevity of the buttons on the thing . 
0, the next problem was that it didn 't recognize all the installed components  so it would not update them  most notably and importantly  virus definitions .
1, i have not yet used all the features  like the calendar  etc  but as a music player this little thing rocks .
0, in fact  each of my creative mp3 players had software problem in the first place . 
1, no matter the format . 
0, 7 . mediasource did not install on my personal notebook . 
0, unfortunately it turns out to be the " disposable " type . 
0, the biggest problem is the installation .
1, my friends were impressed with the quality of the pictures i took ! 
1, i did like the heft of the machine .
1, this thing is great  i like to use it to pick up tough stains on my countertop and also to listen to my old 8-track records . 
1, i purchased two of these beauties .
0, luckily the soft start helped before it took the wood and tossed it or worse case  a finger .
0, i bought 2 of this model for christmas presents and neither one of them work ! 
0, my biggest complaint is the battery life or lack there of . 
1, if  like me you simply want an ipod to play your mp3 's  buy this one .
0, dont rely on t-mobile rebates .
1, the voice recorder is a beautiful add-on ; not even necessary  but just an example of why apple just wants your money and creative labs wants to make a better player .
1, other than the fact that one can 't delete a file directly from the ipod  the interface is excellent and mind-numbingly simple to use .
0, the scroll button is overly sensitive at times ; not sensitive enough at others . 
1, we really enjoyed shooting with the canon powershot sd500 .
1, but i was ready to upgrade and when i discovered that canon was going to come out with an even smaller digital camera with a higher resolution  i had to have the s100 .
1, - audio formats : supports both mp3  wma ... and yeah  wav too .
0, there are a couple things i didnt like though but nothing serious : a little larger than other mp3s but still light  the software takes some time to get used to ( maybe 10-15 mins )  and this thing would definitely be destroyed with one fall . 
1, the auto-mode is good enough for most shots but the 4300 also boasts 12 versatile scene modes as well as a manual mode though i admit i have n't played with it too much on manual . 
1, however  the ipod does not come close to the number of extra features that the ' zen micro ' has to offer .
1, the combination of the price  storage size  and player features makes this player the best on the market . 
0, many other reviewers are mentioning that they have had no problems at all > i would say that the main problem is that this player is just not made very well .
0, it feels slow to focus  and unbearably slow to shoot . 
1, i noticed that the micro adjustment knob and collet are well made and work well too .
1, overall  a good buy for the price . 
0, my jpeg pictures are viewable ( not so sharp and vivid ) on my 27 " screen but seem not as clear as when i view them on my 17 " monitor . 
1, these issues aside  the ipod is kind of like the cell phone in that once you have one  you can 't be without one .
1, first 4 months it was in our bedroom and we did not even smell any odor .
1, have had the nokia 6600 for a year now and am generally very happy with it and with t-mobile .
0, in fact  it caused my system to hang more times than not  so i uninstalled it and stuck with mediasource 100 % . 
0, my only reservations about this product concern the tagging process and the way it interacts with the software . 
1, when i took outdoor photos with plenty of light and the objects were n't moving  the photos were awesome . 
0, looks and durability : i realize many people are fond of the minimalist white interface .
0, we resorted to using small plastic bags to store the dirty diapers and dumping them in a trash can and using the diaper champ for wet diapers only .
1, builtin microphone is great for recording short voice notes .
1, but canon never fails to amaze . 
0, i am an advanced computer user  so i cannot even imagine how a new or novice user would ever get this terrible program to work !
1, it is small overall  bigger than the ipod  but keep in mind that this is because different  less expensive but not necessarily inferior technology is used in the zx . 
1, i got it working fast enough .
1, this camera is ideal for people who want more power  but do n't want to spend 1000s dollars on a camera . 
1, i 've had it for a week now  do n't regret the purchase one bit  and i never leave home without it . 
1, working for 10 hours with it on " shuffle " totally rocks ! ! 
0, even the instruction booklet is out of order .
1, if you love your cell phone games or changing your ring tones everyday  nokia beats everyone else .
1, 3660 had similar features  but that is big in size .
1, ( he had owned two apex dvd players  and was pleased with both of them . ) 
1, this router acts as a wireless access point  100 mb switch and a router making it a nice multipurpose device .
1, i think  apex is the best dvd player you can get for the price . 
1, 8 ) creative mediasource  although not as sleek looking as windows mediaplayer  is effective in organizing your collection and is linked to a good cddb service ( gracenotes ). 
1, i don 't know why cnet says there is a problem with focus  i have all my pictures sharp and high quality .
1, i 've had this phone for almost a year now and it has been nothing but great to use .
0, i would have rated it five stars but for the poor manual . 
0, i only have one complaint  and that is the 8mb card included . 
0, the cut-outs for the controls is not thought out as there is too much material in the way to adequately access the controls  especially the scroll wheel . 
0, sometimes the pictures are onthe dark side  but i 'm able to fix that using the photoshop 6.0 " adjust levels " function ... not sure how a person would do that without photoshop  though .
0, this thing is trash . 
0, the scroll bar is a bit of a pain . 
1, so far it has been very durable ( other than the little pads on the earbuds )  but those aren 't really necessary as i find them comfortable on their own .
1, after using it for about a month  i can state unequivocably that this nikon definitely delivers a huge bang for the buck . 
0, the one i purchased for a frend as a gift will not read any dvd disc . 
0, i 've searched the program and their online tech support ( worthless ) and have found no solutions .
1, great design-- very sleek and touch wheel has still never been successfully copied ( vertal ones are the only competition ) ; and now the wheel clicks  taking away a lot of headaches from 3rd gen and very navigable in the menus .
1, it 's running great for all the dvds i have and rented . 
0, the only downside to this is that it can get pretty stinky long before the pail is full .
1, 2 ) nice features  like web browser  camera  video recorder  speaker phone ( very usefully )  clear voice reception .
1, however after playing with it for three weeks now  i 'm convinced  the zen micro is superior .
0, the zen xtra will transfer the files to the player  but not the folder name . 
1, about the product : the zen micro is a sleek  stylish device that caters not just to " hip " youngsters but to people of all walks of life who like to listen on the go without having to worry frequently about battery life  size  or the " awkward " factor .
0, * scroll button more cumbersome than on earlier models . 
0, my other nit is that it didn 't include at least some kind of carrying case for everything .
0, i had a lot of problems setting it up  since the software given along with it is buggy .
0, can 't get easier than that !
1, i find the apex ad-2600 to be a great buy . 
1, i would have given this phone 5 stars if it wasn 't for the fact that i would rather use my 3330 to do all the most common things you do with a phone .
1, by the way  i use the norton 2003 corporate at work with absolutely no trouble .
1, it works well enough ( so far ) for me to be satisfied with it  and it 's possible that i 'm missing something . 
1, also included in the " games " section is the great music trivia option - which tests your skill at being able to quickly place your own songs .
1, and we still love it !
0, the door would not close . 
0, all that said  i am a little disappointed with the quality of the pictures from the camera .
1, the popup blocker and anti-spam are bonuses .
1, we just recently had to buy another roll of bags . so $ 6.00 for a year of bags- can 't beat that ! !
0, some movies it played yesterday  it wo n't play today . 
0, controls are a bit awkward . 
1, excellent picture quality - on par with my pioneer  panasonic  and jvc players . 
0, i gave up and got a diaper dekor .
1, but it ; you won 't regret it .
1, this is an excellent router for the price .
0, on my main computer the software did not work right . 
1, the phone itself is pretty nice .
1, perhaps i bought the micro to be different  the cheaper price tag ( from amazon )  the design  or avoiding the high ipod theft in nyc subways .
0, - no propietary headset jack 
0, you must keep double checking depths .
1, you can do * so * much more with the pc suite  i.e. free ringtones from midi files  free graphics from any picture on your computer  and if you know how to program jme you can even make your own apps / games . 
0, who knows how many uses you 'll get out of it before it craps out  but it probably will . 
1, battery recharge  is an awesome thing  because it recharges in only like 2-3 hours . 
1, even at the " normal " setting  a 8x10 print ! shows not a single sign of visible rendering or pixels - you could never tell that the picture has been taken by a " digital " . 
0, buttons do seem a little sticky tho .. and the hands free kits ' connector might be a problem .. 
0, sometimes  various applications crash .
0, as it stands now  the case is pretty useless unless you 're packing the player up for travel  or if you load up all your songs beforehand . 
0, granted  i have only used this dvd player for about 2 hours setting it up for my mom for christmas  but that was long enough for me to find problems with this dvd player . 
1, there 's even an equalizer ( under " settings " ) that allows you to adjust the sound for acoustic  bass booster  bass reducer  classical  dance  " deep "  and electronic .
1, the hitachi has plenty of power  runs smooth  and cuts effortlessly through maple ( with freud bits ! )
1, the wrt54g offers excellent security features and much more ( and easier ) configuration menu that i didn 't even need a manual to setup correctly .
1, the signal to noise ratio ( the ratio of detectable  useful data to unusable garbage in  say  a radio wave ; a larger stn ratio is better ) is nice and high at 98 decibles  and it should be noted that apple refuses to release the stn ratio of any of the ipods . 
1, i dont know what other people are saying  but the software is awesome . 
1, as the 6600 uses 900mhz  it operates in more countries than the 6620 .
0, it also has unproven battery life . 
0, the only thing i would complain about the zen xtra is that the controls are n't as easy as the ipod 's  or as " sexy " looking . 
0, my old siemens s56  on the other hand  worked beautifully with all of the above .
1, it is versatile and seems to be one of the best . 
1, i have had no problem what-so-ever with this product . 
0, however  i suspect that many people are having a bad experience -- do not purchase this product .
1, the battery is also convenient  but could have been better  such as the zen touch 's battery ( but at least this one is removable ) .
0, i have sent my ad2600 back to apex because it wo n't play certain disney and other dvd movies ( no disc message ) . 
1, one other plus is that napster now supports this device via their software . 
0, i 'm giving it 1 star because as compared to other nokia phones  its a 1  compared to other blunders by other companies ( such a samsung and motorrola ) it might be good .... but if you 're getting a nokia  don 't get this one .
1, white earbuds ( i replaced those with some shure headphones  big difference )  a case  a stand  a clip ( which doesn 't really work )  and a nice little zen micro bag .
1, i 've dropped it atleast a dozen times to my recolletion and it still works as good as ever .
0, i must say  this one is quite slow to open an application .
1, seriously  this thing has everything that a pro or expert amateur could want . 
0, the internet functions of the phone - wap and gprs - will only work through t-mobile 's services  because they have deleted the menu options that would enable you to configure the phone to be used on a different network . 
1, moving on to sound department ... it delivers !
1, the blue backlight is pretty cool .
0, both of the problem dvd 's would repeatedly freeze during playback  while the counter on the player kept going . 
0, our norton internet / av 2004 was terrible right from the get go  so i 'd think that if sytemworks is ok now  it should remain ok .
0, for one thing  the diapers always get jammed in it .
1, one good thing  it is 40 gb of disk space ( well  it is 38 gb in reality ) . 
1, overall build quality  good macros-results  impressive video-quality  good pictures with flash ( good colours  sharp results )  excellent auto white balance .
1, the pictures are fabulous and their is a ( short ) learning curve to it ; there are tons of features i have n't even gotten to . 
0, the only thing i don 't like is the small size ( 8 meg ) memory card that comes with it .
0, every time nomad thinks the file is corrupt the os freezes . 
1, i think the interface is great .
1, when the overall image quality ( especially natural colours  details  natural looking of the pictures ) is the most important thing  then this camera ist top notch and very impressive .
1, the unit works great with my cassette adapter for my car & is also easily worked without taking your eyes off the road ! 
0, respectable  solid  but not awe-inspiring .
0, the fact that the " 0 " key is the space key for text input is a bit confusing  as many phones use the " # " key instead . 
1, my favorite thing about the nomad is the eax feature . 
0, no way to contact their customer service . 
0, the eq is awful  and even at top volumes  the bass is flat sounding .
1, the zen is an outstanding way to shuttle music between sources  you can 't do this on the ipod ( except for a cumbersome work-around using the ipod as a hard drive instead of a player ) . 
1, but  for the money it is a good machine .
1, i find all of the controls well-placed and not flimsy in the least . 
0, -- > will not automatically transfer songs with identical titles ( if you have live albums or greatest hits albums  this will cause you inordinate frustration ). 
1, i use this with a home theater system and it 's amazing how it sounds  the picture clarity is unmatched ! 
1, the phone is sturdy .
0, also  their t-zones  although cheap ( $ 4.99 / mo. ) never works . 
1, initially these phones were fun to play with some of the cool features like the speaker phone  web browser and ofcourse the built in camera .
0, other cameras taking pics of the same subjects turn out looking much better .
1, this is wonderful to have for your first dvd player . 
1, other plusses : changable battery  loads of presets for environments  decent construction  still quite small and light despite being slightly bigger than an ipod . 
0, again  every review written about the tech line is true ... after waiting close to 45 minutes i finally spoke to a rep .
1, i highly recommend it . 
0, about the only legitimate criticsm from the online reviews is that fact that the lens really does obstruct the viewfinder . 
0, t-mobile wasn 't upfront about some of the terms to qualify for the rebate .
1, just bought one & i 've enjoyed it to date . 
1, i 'm not sure whether this is related to the charge cycle of its li-ion battery  the better firmware  or a combination of both factors .
1, the software is quick & easy to use & i found the entire process very easily mastered . 
1, with 40gb of storage i have about 7500 songs on the player ( everything music file i have is on there ) with room for about 2500 more . 
0, it would spin  read  spin some more and then show on the display that there was no disc . 
1, i 'm not overly fond of green but when i used this hitachi m12v it turns out that now i 'm very fond of it .
1, all the " cool " features of the mini  but with 20gb instead of 5 .
1, even during the firmware updates my roommates did not loose wireless connectivity .
1, nothing has broken on it  and it plays all the dvds i have . 
1, its the easiest thing to setup i thought  and i am only 16 ... so with all that said  buy the router ! ! ! !
1, norton pops up a window about the intrusions and gives me as much detail as possible about where the intrusion is coming from .
1, the color screen makes this free-after-rebates phone shine bright  and commands are very responsive . 
1, plus  the fact that it used regular trash bags is great .
1, nis 2003 worked like a charm last year .
0, to eliminate any smells we simple stuck a stick up room deodorizer inside the lid .
0, there are 2 things that need fixing first is the battery life . it will run for 6 hrs without problems with medium usage of the buttons .
0, the dvd player does not work properly . 
1, i found the controls very intuitive and learned how to manuver through the menus quickly . 
0, the case is strong and stylish  but unfortunately lacks a window ( now a big deal ) . 
1, although the nokia 6610 is a little short on the features department  it is an outstanding piece of hardware for doing what it was primarily meant to do : to be a wireless telephone . 
1, the sound quality with jazz and pop music is equally superior . 
0, you can 't change the battery  so i don 't know what i 'm going to do in a year or so .
1, the sound is quite good  in terms of volume .
0, ( i never know when the champ is full as there is no way too tell . even though not particularly aesthetic  how about making the champ clear and see-through ? ) so  i lift the lid and find a wad of diaper  which i must remove  usually stuck inside the lid itself because the bag is too full .
0, this is somewhat annoying  but from working with computers ( espcially windows -- ugh ... )
0, it is the ' first generation ' of the player  and while i still agree that it is a great alternative to the ipod  i think there are many others that would be a much better value for your buck .
0, knocked 1 star off for the install wizard - it wasted alot of time running it .
1, first of all  the phone houses a great deal of memory for multiple videos  sound clips  photos  texts  etc .
0, it 's perfect for those who aren 't planning on storing tons of music .
0, the 2600 had false silver plate instead of play display . 
1, i just got an older 866 mhz system with 512 pc 133 ram and it also runs fine on that .
1, ripping & transferring tunes is basic  and pretty fast ( even on a 1.1 usb ) . 
1, the loud speaker function on the 6610 is great because you do n't need to put your phone right next to your ear to talk . 
1, i have n't messed with the firmware at all  the player worked perfect for me right out of the box . 
1, the price is incredible with the bonus pack and hitachi 's $ 25 incentive ( you need the code ---go to toolseeker.com and it tells you )
1, this means that there is a good chance that this phone will not break easily like typical american phones . 
0, my biggest concern is that i have found nokia phones lower quality construction to lead to lower prices  but they also don 't last as long .
1, the song quality of the ipod is excellent  and the included ear buds are actually more than satisfactory  for most users .
1, the standard battery include with the g3 is a camcorder battery that will allow me to take pictures all day without worrying about charging . 
0, only problem is that is a bit heavy .
1, very cool features ... great camera with zoom ... cool quality pictures ... great ringtones ... bluetooth feature is great ....
1, this one has a good looking .
0, after about an hour it starts skipping like the dvd 's are dirty . 
1, it 's easy and really works  with some incredible range .
1, this camera is so easy to use !
1, it surpasses my greatest expectations in a 4mp camera .. 
1, the sound quality is excellent ( and i 'm fussy with that stuff )  the unit looks cool  screen is bright and easy to read  and the replaceable battery means a major advantage over the ipod ( besides the price  but everyone knows that ) . 
1, in short  this player is good at size  value  hardware design but really bad at its software 
0, i did not managed to make creative nomad explorer to work . 
1, in terms of the shots taken  this camera is insanely great ! 
0, my gut tells me the nomad will in the long run be  at best  a 40gb portable hard drive  albeit one on which i can 't create folders  or  at worst  a very expensive lesson in companies never to buy products from again ( i have their audigy sound card and find it in many ways equally frustrating ) . 
1, have not had any issues with the headphones or fragility .
0, also  the earbuds that came with it sound great but are uncomfortable ( although my wife didn 't have a problem )  so i bought a pair of over-the-ear headphones .
1, but it comes with a tank of a case and if you cut a piece out where the screen is you can always keep it in the case and still access everything . 
1, the ear buds that come with it look cheap  but the sound quality is amazing .
0, ) button sensitivity : even reduced to the lowest sensitivity setting  the buttons are far two sensitive  really takes some getting use to  and even then  it is still too sensitive .
1, the screen is bright  easy to see in the daylight  with nice colors . 
1, price  along with the replaceable battery ( which i understand apple charges a small fortune to replace - as well as the hassle of returning it ) were the two main factors on why i picked the nomad . 
1, neat feature for self-timer allows you to record two different warnings .
0, after less than 24 hours it turned out to be a huge disappointment  for myself and for my parents  for whom it was a gift . 
0, loading cds was somewhat time-consuming  but i think it would have been with the ipod as well . 
1, great picture quality - in automatic mode  quality is great .
1, start up is so quick !
1, ripping the songs  even with my 1.1 usb connection is still very quick  and the quality is very good . 
1, clear the call logs once in a while to speed up the phone people ! ! !
1, i can use it as a modem for my computer  connect with clients and friends  the possibilities are endless .
0, the scroll wheel  to be blunt  sucks . 
1, the battery on mine lasts 2 days if i don 't play games that much  and it only takes 90 mins to charge from flat .
1, in the hands of someone who does n't  it will yield good results on idiot program / auto mode . 
1, i finally decided to purchase this player because it was compatible with napster 2 go .... which is a subscription service  allowing me to download as much music as i want for a $ 14.95 flat fee .
1, in the auto mode it functions basically as a point and click  the scene modes are very easy to use and produce good results . 
0, the pc-side software can be goofy and takes a little getting used to but it 's not as bad as some reviewers have indicated . 
0, i was impressed by this very inexpensive player.for the first three hours  and then it died . 
0, the catch is that  while it plays movies just fine  it has refused to read second discs with the movie " extras " on them on the two occaisions when i tried to do that . 
0, i built my own router table with a tilt up top & made a hand crank to replace the height adjustment knob & these two things make it easy to change out & raise or lower the bits .
0, 6 . the zen nx battery requires the ac adapter to recharge ; it does not charge by usb cable ; this is not tragic  but usb recharging would be a convenient ( additional ) choice . 
0, but the major problem i had was with the software . 
1, i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase ! 
1, 1 it has all the features an amatuer photo-enthusiast would want . 
1, this is probably your best bet if you are looking for a phone in this price range  or like me  do not have the patience to deal with annoying flip phones . 
0, i 've sent 10 e-mails to their customer service department requesting an ra with no response . 
0, apex sucks ! 
1, the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry . 
1, 7 picture quality is excellent . 
1, the ipod package comes with everything you need  the ac adaptor  firewire cable ( quicker than usb  but slower than usb 2 which it also gives )  those snazzy and powerfull headphones  and of course the player .
1, unlike some of the other people who received a " lemon "  my dvd player came in perfect working condition . 
0, i don 't know  maybe i got a defective one but first  the player would not shut off  next  the player would not come on - i had to send it away to get repaired .
0, yes  you may get a whiff of a smell when you flip the handle  but then it is gone .
1, the picture quality is amazing and you can connect it to your tv and could make silent movies that way if you wanted to . 
1, it is amazingly small  it 's hard to believe all that has been packed into this camera .
1, and best of all  no wasting money on special refill bags---this takes ordinary garbage bags !
1, the zen micro is no exception : in addition to the case  it comes with a neck strap  and has all of the necessary cables for syncing and charging .
1, i love the eos based controls and easy menus . 
1, supporting an operating system  symbian os  you can download and run a lot of programs on this phone .
1, fm radio built in ( howard stern ) .
1, it 's easy to transfer  preview  and organize files . 
1, as it turns out  this is an awesome camera !
0, i have ice age and it keeps telling me no disc . 
1, but anyway  the only thing you should really look at here is the fact that the phone does have voice dialing . 
1, it is easy enough to use for a beginner like me but it has plenty of features for me to grow into . 
1, i click pictures in jpg format and because the phone has a bluetooth device i find it extremely easy to transfer pics to my pc and forth .
1, it 's overkill for simple snapshots  unless you 've got way too much money to blow .
0, after 4 attempted installs  i have finally given up .
1, an extra gig of room  fm radio  voice recorder  pim applications with sync to outlook .
1, you can move the focus range to almost anywhere in the scene with the push of a button  and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus . 
0, now it will not load any disk or just says that there is no disk . 
